Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.02    103.61     0.02   626821     0.00     0.00  camlPlanck__Pbase__$3f$2a_2504
  0.02    103.63     0.02   617112     0.00     0.00  camlPlparser__fun_11494
  0.02    103.65     0.02   551585     0.00     0.00  camlPlanck__Pbuffer__fun_3234
  0.02    103.67     0.02   551585     0.00     0.00  camlPlanck__Sbuffer__takeWhile_1225
  0.02    103.69     0.02   416342     0.00     0.00  camlPlparser__fun_22441
  0.02    103.71     0.02   416197     0.00     0.00  camlPlparser__fun_22729
  0.02    103.73     0.02   402728     0.00     0.00  camlPlparser__fun_22473
  0.02    103.75     0.02   402235     0.00     0.00  camlPlparser__fun_11496
  0.02    103.77     0.02   392644     0.00     0.00  camlPlparser__fun_23010
  0.02    103.79     0.02   392323     0.00     0.00  camlPlparser__method_simple_expr_9708
  0.02    103.81     0.02   388580     0.00     0.00  camlPlparser__fun_17559
  0.02    103.83     0.02   388580     0.00     0.00  camlPlparser__method_field_expr_list_9298
  0.02    103.85     0.02   385518     0.00     0.00  camlPlparser__fun_22743
  0.02    103.87     0.02   369116     0.00     0.00  camlLex__float_2650
  0.02    103.89     0.02   369116     0.00     0.00  camlLex__fun_4020
  0.02    103.91     0.02   369116     0.00     0.00  camlLex__int32_2655
  0.02    103.93     0.02   357371     0.00     0.00  camlLex__fun_4775
  0.02    103.95     0.02   356976     0.00     0.00  camlLex__fun_4794
  0.02    103.97     0.02   346836     0.00     0.00  camlPlparser__fun_17666
  0.02    103.99     0.02   346688     0.00     0.00  camlPlparser__fun_17692
  0.02    104.01     0.02   248532     0.00     0.00  camlPlparser__fun_17895
  0.02    104.03     0.02   248532     0.00     0.00  camlPlparser__fun_17912
  0.02    104.05     0.02   248532     0.00     0.00  camlPlparser__method_simple_expr_leftrec_9616
  0.02    104.07     0.02   248488     0.00     0.00  camlPlparser__fun_17929
  0.02    104.09     0.02   248189     0.00     0.00  camlPlparser__fun_17946
  0.02    104.11     0.02   231828     0.00     0.00  camlPlparser__fun_17383
  0.02    104.13     0.02   220133     0.00     0.00  camlPlparser__method_label_expr_9511
  0.02    104.15     0.02   181415     0.00     0.00  camlPlparser__fun_16968
  0.02    104.17     0.02   181392     0.00     0.00  camlPlparser__fun_16989
  0.02    104.19     0.02   171604     0.00     0.00  camlPlparser__fun_16317
  0.02    104.21     0.02   170078     0.00     0.00  camlPlparser__fun_17153
  0.02    104.23     0.02   169590     0.00     0.00  camlPlparser__fun_17174
  0.02    104.25     0.02   165681     0.00     0.00  camlPlparser__fun_17300
  0.02    104.27     0.02   154623     0.00     0.00  camlLex__fun_4064
  0.02    104.29     0.02   145255     0.00     0.00  camlPlparser__fun_16043
  0.02    104.31     0.02   144122     0.00     0.00  camlPlparser__fun_16519
  0.02    104.33     0.02   133907     0.00     0.00  camlPlparser__fun_16483
  0.02    104.35     0.02   126760     0.00     0.00  camlLex__fun_5172
  0.02    104.37     0.02   104506     0.00     0.00  camlString__concat_1066
  0.02    104.39     0.02    76733     0.00     0.00  camlPlparser__fun_19833
  0.02    104.41     0.02    72515     0.00     0.00  camlPlparser__fun_19359
  0.02    104.43     0.02    67872     0.00     0.00  camlPlparser__fun_19854
  0.02    104.45     0.02    59050     0.00     0.00  camlPlparser__fun_19859
  0.02    104.47     0.02    52271     0.00     0.00  camlPlparser__fun_19112
  0.02    104.49     0.02    46563     0.00     0.00  caml_scan_global_young_roots
  0.02    104.51     0.02    23734     0.00     0.00  camlPlparser__fun_18413
  0.02    104.53     0.02    20750     0.00     0.00  camlPlparser__fun_15724
  0.02    104.55     0.02                             camlLexer____ocaml_lex_token_rec_1262
  0.02    104.57     0.02                             caml_array_unsafe_set_addr
  0.01    104.58     0.01    46563     0.00     0.00  caml_minor_collection
  0.01    104.59     0.01  4686849     0.00     0.00  run_tag
  0.01    104.61     0.01  1541761     0.00     0.00  caml_string_notequal
  0.01    104.61     0.01  1357350     0.00     0.00  invert_root
  0.01    104.62     0.01  1259045     0.00     0.00  caml_curry8
  0.01    104.64     0.01  1259045     0.00     0.00  caml_curry8_4
  0.01    104.64     0.01  1259045     0.00     0.00  caml_curry8_6
  0.01    104.66     0.01  1249912     0.00     0.00  camlPlanck__Position__add_newlines_1212
  0.01    104.67     0.01  1163454     0.00     0.00  camlPlparser__gen_list_3001
  0.01    104.67     0.01  1163454     0.00     0.00  caml_curry8_7
  0.01    104.69     0.01   945957     0.00     0.00  camlPlanck__Pbase__fun_2924
  0.01    104.69     0.01   791510     0.00     0.00  camlPlphelper__fun_2941
  0.01    104.70     0.01   778270     0.00     0.00  camlLex__fun_5337
  0.01    104.72     0.01   777461     0.00     0.00  camlLex__fun_5344
  0.01    104.72     0.01   777160     0.00     0.00  camlPlparser__method_expr_semi_list_nonleftrec_9274
  0.01    104.73     0.01   626821     0.00     0.00  camlPlanck__Pbase__aux_2506
  0.01    104.75     0.01   604590     0.00     0.00  camlXlocation__to_location_3051
  0.01    104.75     0.01   590907     0.00     0.00  camlPlparser__fun_11504
  0.01    104.77     0.01   551932     0.00     0.00  camlParsing__symbol_end_pos_1194
  0.01    104.78     0.01   546007     0.00     0.00  camlPlanck__Pbuffer__$3f$3f$2a_2766
  0.01    104.78     0.01   467925     0.00     0.00  camlPlparser__fun_22980
  0.01    104.80     0.01   467925     0.00     0.00  camlPlparser__method_constr_longident_8181
  0.01    104.81     0.01   456289     0.00     0.00  camlPlanck__Op_prec__build_1327
  0.01    104.81     0.01   453116     0.00     0.00  camlPlanck__Pbase__fun_2885
  0.01    104.83     0.01   440019     0.00     0.00  camlLex__fun_4039
  0.01    104.83     0.01   416197     0.00     0.00  camlPlparser__method_val_ident_8288
  0.01    104.84     0.01   414717     0.00     0.00  camlPlparser__fun_22453
  0.01    104.86     0.01   414191     0.00     0.00  camlPlparser__fun_11486
  0.01    104.86     0.01   402821     0.00     0.00  camlPlparser__fun_22458
  0.01    104.88     0.01   402295     0.00     0.00  camlPlparser__fun_11488
  0.01    104.89     0.01   397105     0.00     0.00  camlPlparser__fun_23006
  0.01    104.89     0.01   384336     0.00     0.00  camlPlparser__fun_17377
  0.01    104.91     0.01   371449     0.00     0.00  camlPlparser__fun_23524
